Time	,	Heart Rate
23:16:43	,	64
23:16:48	,	68
23:16:53	,	67
23:16:58	,	62
23:17:08	,	64
23:17:13	,	64
23:17:28	,	64
23:17:38	,	65
23:17:43	,	67
23:17:58	,	65
23:18:03	,	64
23:18:08	,	64
23:18:23	,	65
23:18:33	,	66
23:18:38	,	65
23:18:43	,	64
23:18:53	,	63
23:18:58	,	62
23:19:08	,	63
23:19:13	,	64
23:19:23	,	65
23:19:28	,	65
23:19:33	,	64
23:19:38	,	63
23:19:48	,	64
23:19:53	,	64
23:19:58	,	65
23:20:03	,	65
23:20:13	,	65
23:20:18	,	66
23:20:23	,	65
23:20:28	,	64
23:20:43	,	64
23:20:53	,	63
23:20:58	,	61
23:21:08	,	62
23:21:13	,	62
23:21:28	,	62
23:21:43	,	63
23:21:48	,	64
23:22:03	,	62
23:22:08	,	61
23:22:18	,	61
23:22:23	,	62
23:22:33	,	61
23:22:38	,	62
23:22:43	,	63
23:22:48	,	62
23:22:53	,	60
23:22:58	,	60
23:23:03	,	61
23:23:08	,	62
23:23:18	,	61
23:23:33	,	61
23:23:38	,	63
23:23:43	,	64
23:23:48	,	63
23:23:53	,	62
23:23:58	,	61
23:24:03	,	62
23:24:08	,	61
23:24:13	,	61
23:24:23	,	62
23:24:38	,	62
23:24:43	,	60
23:24:58	,	61
23:25:03	,	61
23:25:08	,	60
23:25:13	,	61
23:25:28	,	62
23:25:38	,	60
23:25:53	,	60
23:26:03	,	62
23:26:08	,	60
23:26:13	,	59
23:26:18	,	58
23:26:33	,	58
23:26:38	,	61
23:26:53	,	61
23:26:55	,	61
23:27:00	,	60
23:27:05	,	59
23:27:10	,	59
23:27:25	,	60
23:27:35	,	60
23:27:40	,	59
23:27:50	,	58
23:28:00	,	58
23:28:05	,	59
23:28:15	,	59
23:28:20	,	58
23:28:35	,	58
23:28:40	,	59
23:28:55	,	59
23:29:00	,	60
23:29:10	,	59
23:29:20	,	59
23:29:30	,	60
23:29:35	,	59
23:29:40	,	59
23:29:50	,	58
23:29:55	,	57
23:30:05	,	58
23:30:10	,	59
23:30:15	,	59
23:30:30	,	59
23:30:34	,	59
23:30:49	,	59
23:31:04	,	58
23:31:09	,	57
23:31:19	,	58
23:31:34	,	58
23:31:44	,	59
23:31:49	,	59
23:31:59	,	58
23:32:04	,	59
23:32:09	,	59
23:32:14	,	59
23:32:29	,	58
23:32:34	,	57
23:32:39	,	58
23:32:44	,	58
23:32:49	,	59
23:32:54	,	59
23:33:09	,	58
23:33:14	,	57
23:33:19	,	57
23:33:24	,	58
23:33:34	,	58
23:33:44	,	57
23:33:54	,	58
23:34:04	,	59
23:34:09	,	58
23:34:14	,	58
23:34:29	,	57
23:34:39	,	58
23:34:44	,	58
23:34:54	,	58
23:34:59	,	57
23:35:09	,	58
23:35:24	,	58
23:35:29	,	57
23:35:44	,	57
23:35:49	,	58
23:35:54	,	58
23:35:59	,	57
23:36:09	,	57
23:36:14	,	56
23:36:19	,	57
23:36:29	,	58
23:36:44	,	58
23:36:54	,	58
23:36:59	,	57
23:37:14	,	57
23:37:24	,	58
23:37:29	,	57
23:37:39	,	57
23:37:44	,	57
23:37:54	,	58
23:38:04	,	57
23:38:09	,	57
23:38:19	,	57
23:38:24	,	57
23:38:39	,	58
23:38:44	,	57
23:38:49	,	56
23:39:04	,	57
23:39:19	,	56
23:39:24	,	56
23:39:34	,	55
23:39:39	,	56
23:39:54	,	56
23:40:09	,	57
23:40:14	,	56
23:40:19	,	55
23:40:34	,	56
23:40:49	,	56
23:40:54	,	57
23:41:09	,	57
23:41:24	,	57
23:41:39	,	56
23:41:44	,	56
23:41:49	,	56
23:41:59	,	57
23:42:14	,	57
23:42:24	,	56
23:42:29	,	55
23:42:34	,	55
23:42:39	,	56
23:42:54	,	56
23:43:04	,	57
23:43:19	,	56
23:43:29	,	57
23:43:44	,	57
23:43:49	,	57
23:43:54	,	56
23:44:09	,	56
23:44:24	,	57
23:44:39	,	56
23:44:54	,	56
23:45:09	,	56
23:45:14	,	57
23:45:24	,	58
23:45:29	,	57
23:45:34	,	56
23:45:49	,	56
23:46:04	,	56
23:46:19	,	56
23:46:24	,	55
23:46:29	,	54
23:46:39	,	55
23:46:44	,	56
23:46:54	,	55
23:47:09	,	55
23:47:14	,	55
23:47:19	,	56
23:47:34	,	56
23:47:49	,	56
23:47:54	,	57
23:47:59	,	58
23:48:09	,	57
23:48:24	,	57
23:48:34	,	57
23:48:39	,	56
23:48:44	,	57
23:48:59	,	57
23:49:04	,	56
23:49:19	,	57
23:49:24	,	56
23:49:34	,	57
23:49:39	,	56
23:49:54	,	56
23:50:09	,	56
23:50:19	,	57
23:50:24	,	58
23:50:29	,	57
23:50:34	,	56
23:50:39	,	57
23:50:49	,	56
23:51:04	,	56
23:51:14	,	57
23:51:19	,	57
23:51:29	,	56
23:51:44	,	56
23:51:59	,	57
23:52:04	,	58
23:52:14	,	57
23:52:29	,	57
23:52:39	,	58
23:52:44	,	57
23:52:59	,	57
23:53:14	,	57
23:53:24	,	56
23:53:34	,	57
23:53:44	,	56
23:53:49	,	57
23:54:04	,	57
23:54:09	,	56
23:54:19	,	55
23:54:24	,	56
23:54:29	,	57
23:54:44	,	57
23:54:49	,	56
23:55:04	,	56
23:55:09	,	57
23:55:24	,	57
23:55:39	,	56
23:55:54	,	56
23:55:59	,	57
23:56:04	,	56
23:56:19	,	56
23:56:34	,	57
23:56:39	,	56
23:56:49	,	55
23:57:04	,	55
23:57:09	,	56
23:57:24	,	55
23:57:34	,	56
23:57:44	,	56
23:57:49	,	55
23:57:54	,	55
23:58:04	,	56
23:58:19	,	56
23:58:29	,	55
23:58:34	,	56
23:58:49	,	57
